raceId,Year,Race,Date,Finishers,City,State,Country,Continent,Type,Include,AgeBand,Net,Adjustment
1203,2025,NYC Marathon,2025-11-02,59129,New York City,NY,,,,True,1,0,0
1024,2025,London Marathon,2025-04-27,56479,London,UK,,,,True,5,0,0
783,2024,NYC Marathon,2024-11-03,55525,New York City,NY,,,,True,1,0,0
1103,2025,Paris Marathon,2025-04-13,55500,Paris,,,,,False,1,0,0
1173,2025,Chicago Marathon,2025-10-12,54187,Chicago,IL,,,,True,5,0,0
780,2024,Berlin Marathon,2024-09-29,54062,Berlin,,,,,True,1,0,0
1095,2024,Paris Marathon,2024-04-07,53899,Paris,,,,,False,1,0,0
23,2024,London Marathon,2024-04-21,53877,London,LON,,,,True,5,0,0
784,2024,Chicago Marathon,2024-10-13,52022,Chicago,IL,,,,True,5,0,0
2,2023,NYC Marathon,2023-11-05,51348,New York,NY,,,,True,1,0,0
22,2023,London Marathon,2023-04-23,48780,London,LON,,,,True,5,0,0
31,2023,Chicago Marathon,2023-10-08,48390,Chicago,IL,,,,True,5,0,0
1136,2025,Berlin Marathon,2025-09-21,48022,Berlin,,,,,True,1,0,0
1,2022,NYC Marathon,2022-11-06,47738,New York,NY,,,,True,1,0,0
761,2023,Berlin Marathon,2023-09-24,43045,Berlin,DEU,,,,True,1,0,0
21,2022,London Marathon,2022-10-02,40620,London,LON,,,,True,5,0,0
30,2022,Chicago Marathon,2022-10-09,39335,Chicago,IL,,,,True,5,0,0
1104,2025,Tokyo Marathon,2025-03-02,36125,,,,,,False,1,0,0
762,2022,Berlin Marathon,2022-09-25,34745,Berliin,DEU,,,,True,1,0,0
1118,2025,Sydney Marathon,2025-08-31,32861,Sydney,NSW,AUS,,,True,5,0,0
1195,2025,Marine Corps Marathon,2025-10-26,30127,Washington,DC,,,,True,5,0,0
1017,2025,Boston Marathon,2025-04-21,28384,BA,MA,,,,True,1,0,0
1101,2024,Valencia Marathon,2024-12-01,28189,Valencia,,,,,False,1,0,0
47,2023,Boston Marathon,2023-04-17,26621,Boston,MA,,,,True,1,0,0
1087,2023,Valencia Marathon,2023-12-03,25908,Valencia,,,,,False,1,0,0
48,2024,Boston Marathon,2024-04-15,25550,Boston,MA,,,,True,1,0,0
1094,2024,Manchester Marathon,2024-04-14,21847,Manchester,,,,,False,5,0,0
994,2025,LA Marathon,2025-03-16,21230,Los Angeles,CA,,,,True,1,0,0
77,2024,LA Marathon,2024-03-17,20475,Los Angeles,CA,,,,True,1,0,0
954,2024,Sydney Marathon,2024-09-14,20284,Sydney,NSW,AUS,,,True,5,0,0
75,2023,Mexico City Marathon,2023-08-27,20138,Mexico City,MÉX,,,,False,1,0,0
927,2024,Honolulu Marathon,2024-12-08,18984,Honolulu,HI,,,,True,5,0,0
35,2024,Marathon Pour Tous,2024-08-10,17319,Paris,PAR,,,,False,1,0,0
